"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"huntingBout.nlogo"
"experiment-scenarios"
"06/23/2025 14:13:25:354 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","par_obstacle-damage","par_hunters_reactiontime_max","par_preys_fov","par_track-pregeneration-period","par_preys_safe-distance","par_init-obstacle-scale","waypoints-to-prey-attractors","par_track-mark-probability","par_preys_cooldowntime_min","par_preys_height_max","par_hunters_speed_stealth","par_init-obstacle-diffuse-times","par_hunters_speed_max","par_hunters_tte_max","par_num-hunters","par_hunters_fov","par_preys_speed_max","par_init-obstacle-frequency","par_num-planned-waypoints","par_preys_tte_max","par_preys_visualacuity_mean","par_preys_visualacuity_sd","par_attractiveness-diffuse-times","par_hunters_hearing_radius","par_hunters_cooldowntime_max","par_fires-radius","par_hunters_height_max","par_preys_group_max_size","par_hunters_reactiontime_min","par_hunters_speed_min","par_fires-number","display-mode","par_hunters_tte_min","display-waypoints","par_preys_tte_min","agent-scale","par_preys_reactiontime_max","par_preys_height_min","par_hunters_visualacuity_sd","par_hunters_height_min","par_starting-point-buffer-distance","par_hunters_speed_avmax","scenario-environment","par_preys_speed_min","par_num-preys","par_hunters_cooldowntime_min","par_prey-attractor-probability","par_attractiveness-diffuse-rate","par_preys_reactiontime_min","par_wind-direction","par_hunters_height_stealth","par_preys_hearing_radius","SEED","print-messages","par_hunters_visualacuity_mean","par_preys_speed_avmax","par_max-shooting-distance","par_wind-speed","par_preys_cooldowntime_max","par_init-obstacle-diffuse-rate","[step]","patch-width","max-perception-distance","track-maximum","good-daylight-duration","starting-point","wind-spread-angle","starting-point-buffer-distance","obstacle-damage","track-mark-probability","track-pregeneration-period","wind-speed","wind-direction","num-hunters","num-planned-waypoints","hunters_height_stealth","hunters_height_min","hunters_height_max","hunters_visualacuity_mean","hunters_visualacuity_sd","hunters_speed_stealth","hunters_speed_min","hunters_speed_max","hunters_speed_avmax","hunters_tte_min","hunters_tte_max","hunters_reactiontime_min","hunters_reactiontime_max","hunters_cooldowntime_min","hunters_cooldowntime_max","max-shooting-distance","hunters_hearing_radius","hunters_fov","num-preys","preys_group_max_size","preys_safe-distance","preys_height_min","preys_height_max","preys_visualacuity_mean","preys_visualacuity_sd","preys_speed_min","preys_speed_max","preys_speed_avmax","preys_tte_min","preys_tte_max","preys_reactiontime_min","preys_reactiontime_max","preys_cooldowntime_min","preys_cooldowntime_max","preys_hearing_radius","preys_fov","init-obstacle-scale","init-obstacle-frequency","init-obstacle-diffuse-times","init-obstacle-diffuse-rate","prey-attractor-probability","attractiveness-diffuse-times","attractiveness-diffuse-rate","fires-number","fires-radius","attractiveness-to-prey-max","planned-waypoints","visited-waypoints","discarded-waypoints","hunter-prey-detections","prey-hunter-detections","sneaks","pursues","shots","was-bout-successful","is-bout-finished","hunter-who-shot","prey-who-got-shot"
"4","0.01","30","300","7","500","5","false","0.1","200","2.5","50","5","30","30","2","200","75","5","5","100","33","20","10","50","600","3","2","5","5","5","5","tracks (hunters)","5","true","60","1.5","120","1","15","1.5","1.5","15","default","5","15","300","1","0.3","60","0","50","300","3","false","65","30","50","20","600","0.3","2537","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","2","65","15","0.013888888888888888","0.027777777777777776","0.16666666666666669","0.08333333333333334","5","30","5","30","300","600","1","1","200","15","5","10","1","2.5","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","60","100","60","120","200","600","6","300","5","5","10","0.3","1","10","0.3","0","0","37.39397969348247","{patches [100 100]}","[]","{patches [36 196] [18 155] [5 112] [185 92] [140 23]}","91","222","2134","180","1","true","false"," (hunter 16)"," (prey 4)"
"6","0.01","30","300","7","500","5","false","0.1","200","2.5","50","5","30","30","2","200","75","5","5","100","33","20","10","50","600","3","2","5","5","5","5","tracks (hunters)","5","true","60","1.5","120","1","15","1.5","1.5","15","default","5","15","300","1","0.3","60","0","50","300","5","false","65","30","50","20","600","0.3","7948","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","2","65","15","0.013888888888888888","0.027777777777777776","0.16666666666666669","0.08333333333333334","5","30","5","30","300","600","1","1","200","15","5","10","1","2.5","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","60","100","60","120","200","600","6","300","5","5","10","0.3","1","10","0.3","0","0","22.934540165200204","{patches [100 100]}","[]","{patches [148 191] [147 142] [73 122] [188 76] [176 32]}","358","2321","7877","721","3","true","false"," (hunter 15)"," (prey 2)"
"7","0.01","30","300","7","500","5","false","0.1","200","2.5","50","5","30","30","2","200","75","5","5","100","33","20","10","50","600","3","2","5","5","5","5","tracks (hunters)","5","true","60","1.5","120","1","15","1.5","1.5","15","default","5","15","300","1","0.3","60","0","50","300","6","false","65","30","50","20","600","0.3","7381","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","2","65","15","0.013888888888888888","0.027777777777777776","0.16666666666666669","0.08333333333333334","5","30","5","30","300","600","1","1","200","15","5","10","1","2.5","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","60","100","60","120","200","600","6","300","5","5","10","0.3","1","10","0.3","0","0","36.42007407390314","{patches [100 100]}","[]","{patches [45 126] [70 109] [67 74] [105 48] [5 45]}","224","550","4121","217","5","true","false"," (hunter 15)"," (prey 11)"
"2","0.01","30","300","7","500","5","false","0.1","200","2.5","50","5","30","30","2","200","75","5","5","100","33","20","10","50","600","3","2","5","5","5","5","tracks (hunters)","5","true","60","1.5","120","1","15","1.5","1.5","15","default","5","15","300","1","0.3","60","0","50","300","1","false","65","30","50","20","600","0.3","10236","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","2","65","15","0.013888888888888888","0.027777777777777776","0.16666666666666669","0.08333333333333334","5","30","5","30","300","600","1","1","200","15","5","10","1","2.5","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","60","100","60","120","200","600","6","300","5","5","10","0.3","1","10","0.3","0","0","20.063841528680143","{patches [100 100]}","[]","{patches [95 187] [127 118] [96 116] [65 40] [151 24]}","205","825","3833","176","10","true","false"," (hunter 15)"," (prey 12)"
"10","0.01","30","300","7","500","5","false","0.1","200","2.5","50","5","30","30","2","200","75","5","5","100","33","20","10","50","600","3","2","5","5","5","5","tracks (hunters)","5","true","60","1.5","120","1","15","1.5","1.5","15","default","5","15","300","1","0.3","60","0","50","300","9","false","65","30","50","20","600","0.3","4352","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","2","65","15","0.013888888888888888","0.027777777777777776","0.16666666666666669","0.08333333333333334","5","30","5","30","300","600","1","1","200","15","5","10","1","2.5","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","60","100","60","120","200","600","6","300","5","5","10","0.3","1","10","0.3","0","0","27.37616360262147","{patches [100 100]}","[]","{patches [14 192] [91 149] [15 148] [146 139] [96 5]}","169","122","2244","86","12","true","false"," (hunter 16)"," (prey 8)"
"9","0.01","30","300","7","500","5","false","0.1","200","2.5","50","5","30","30","2","200","75","5","5","100","33","20","10","50","600","3","2","5","5","5","5","tracks (hunters)","5","true","60","1.5","120","1","15","1.5","1.5","15","default","5","15","300","1","0.3","60","0","50","300","8","false","65","30","50","20","600","0.3","11086","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","2","65","15","0.013888888888888888","0.027777777777777776","0.16666666666666669","0.08333333333333334","5","30","5","30","300","600","1","1","200","15","5","10","1","2.5","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","60","100","60","120","200","600","6","300","5","5","10","0.3","1","10","0.3","0","0","28.914207609490944","{patches [100 100]}","[]","{patches [145 193] [122 135] [146 101] [140 73] [6 13]}","408","937","5484","465","42","true","false"," (hunter 15)"," (prey 2)"
"11","0.01","30","300","7","500","5","false","0.1","200","2.5","50","5","30","30","2","200","75","5","5","100","33","20","10","50","600","3","2","5","5","5","5","tracks (hunters)","5","true","60","1.5","120","1","15","1.5","1.5","15","wet and no fires","5","15","300","1","0.3","60","0","50","300","0","false","65","30","50","20","600","0.3","8299","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","2","65","15","0.013888888888888888","0.027777777777777776","0.16666666666666669","0.08333333333333334","5","30","5","30","300","600","1","1","200","15","5","10","1","2.5","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","60","100","60","120","200","600","6","300","10","10","5","0.3","20","10","0.3","0","0","64.83688973380153","{patches [100 100]}","[]","{patches [22 197] [47 178] [44 175] [16 162] [195 87]}","115","651","3158","257","7","true","false"," (hunter 16)"," (prey 8)"
"1","0.01","30","300","7","500","5","false","0.1","200","2.5","50","5","30","30","2","200","75","5","5","100","33","20","10","50","600","3","2","5","5","5","5","tracks (hunters)","5","true","60","1.5","120","1","15","1.5","1.5","15","default","5","15","300","1","0.3","60","0","50","300","0","false","65","30","50","20","600","0.3","31292","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","2","65","15","0.013888888888888888","0.027777777777777776","0.16666666666666669","0.08333333333333334","5","30","5","30","300","600","1","1","200","15","5","10","1","2.5","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","60","100","60","120","200","600","6","300","5","5","10","0.3","1","10","0.3","0","0","20.76994189749543","{patches [100 100]}","[{patch 58 142} {patch 86 179}]","{patches [100 100]}","700","2770","14541","1735","2","true","false"," (hunter 16)"," (prey 7)"
"3","0.01","30","300","7","500","5","false","0.1","200","2.5","50","5","30","30","2","200","75","5","5","100","33","20","10","50","600","3","2","5","5","5","5","tracks (hunters)","5","true","60","1.5","120","1","15","1.5","1.5","15","default","5","15","300","1","0.3","60","0","50","300","2","false","65","30","50","20","600","0.3","33714","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","2","65","15","0.013888888888888888","0.027777777777777776","0.16666666666666669","0.08333333333333334","5","30","5","30","300","600","1","1","200","15","5","10","1","2.5","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","60","100","60","120","200","600","6","300","5","5","10","0.3","1","10","0.3","0","0","28.912103338194754","{patches [100 100]}","[{patch 62 78} {patch 51 138} {patch 83 14} {patch 7 117} {patch 191 62} {patch 100 100}]","[]","363","1680","9506","995","0","false","true","",""
"5","0.01","30","300","7","500","5","false","0.1","200","2.5","50","5","30","30","2","200","75","5","5","100","33","20","10","50","600","3","2","5","5","5","5","tracks (hunters)","5","true","60","1.5","120","1","15","1.5","1.5","15","default","5","15","300","1","0.3","60","0","50","300","4","false","65","30","50","20","600","0.3","38503","50","100","5","28800","{patch 100 100}","30","1.5","0.01","0.1","7","0.1111111111111111","0","2","5","50","1.5","2","65","15","0.013888888888888888","0.027777777777777776","0.16666666666666669","0.08333333333333334","5","30","5","30","300","600","1","1","200","15","5","10","1","2.5","33","20","0.027777777777777776","0.41666666666666674","0.16666666666666669","60","100","60","120","200","600","6","300","5","5","10","0.3","1","10","0.3","0","0","20.889416872857083","{patches [100 100]}","[{patch 122 115} {patch 34 132} {patch 6 20} {patch 41 46} {patch 100 100}]","[]","206","743","8382","482","0","false","true","",""
